Data,Player 1,Player 2,Player 3,Player 4,Player 5
2023-08-01,30363,2506,17694,209437,313048
2023-09-01,32022,4871,18404,208557,809399
2023-10-01,22930,7417,18548,204644,205967
2023-11-01,17737,5646,19361,203787,216218
2023-12-01,16010,9014,17918,200738,142448
2024-01-01,14563,8304,17658,209703,316853
2024-02-01,12952,11301,17485,203124,129708
2024-03-01,11563,11144,17905,212774,93447
2024-04-01,12323,15110,17818,185458,74134
2024-05-01,12334,17915,17169,176874,73143
2024-06-01,11555,18341,16430,184031,54204
2024-07-01,7899,24673,14534,194571,48283
